dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
2010.03,217.93,221.53,3785.4,4218.07,0.19,58.5,76.17,1041.7,0.1,1456.354,948.11,13144.02,13769.82,7838.61,8113.35
2010.04,219.7,222.11,3827.37,4240.22,0.19,58.3,85.03,1059.87,0.5,1458.699,952.451,13560.03,14405.25,8200.75,8590.73
2011.01,222.04,223.16,3837.86,4230.16,0.16,58.4,93.98,1060.73,0.6,1462.003,952.816,14005.68,14573.23,8379.06,8622.12
2011.02,224.57,224.2,3889.38,4258.78,0.09,58.3,102.55,1071.17,0.9,1476.618,962.344,14250.84,14705.3,8310.65,8465.3
2011.03,226.03,225.73,3911.92,4257.83,0.08,58.3,89.71,1091.73,0.5,1463.217,945.958,14343.38,15005.08,8157.7,8368.29
2011.04,227.05,226.94,3960.56,4305.65,0.07,58.5,94.06,1096.07,-0.3,1469.892,946.632,14822.78,15889.52,8480.47,8768.51
2012.01,228.33,228.13,4017.2,4341.75,0.1,58.5,102.89,1100.4,0.2,1458.93,943.586,15229.86,16377.14,8811.08,9129.75
2012.02,228.81,229.25,4051.78,4361.13,0.15,58.5,93.48,1112.67,-0.2,1456.295,943.217,15587.78,16638.17,9173.01,9501.89
2012.03,229.84,230.29,4079.89,4367.41,0.14,58.5,92.27,1123.17,-0.7,1458.542,944.325,15852.99,17109.45,9409.15,9792.21
2012.04,231.37,231.36,4105.1,4372.46,0.16,58.7,88.16,1141.13,-0.1,1468.138,942.376,16114.49,17320.99,9683.65,10089.36
2013.01,232.3,232.53,4162.05,4415.6,0.14,58.6,94.35,1166.73,-0.2,1458.579,939.7,16412.02,17502.82,9904.57,10291.36
2013.02,232.05,233.06,4182.17,4427.42,0.12,58.6,94.22,1169.5,-0.5,1461.153,944.009,16762.5,17821.32,10111.82,10477.43
2013.03,233.3,234.31,4238.46,4465.11,0.08,58.7,105.82,1177.83,-0.7,1466.073,943.431,16738.58,17392.05,9986.41,10172.05
2013.04,234.16,235.35,4298,4504.04,0.09,58.5,97.34,1188.83,-0.3,1467.244,943.116,16877.65,17380.07,9989.13,10116.88
2014.01,235.62,236.26,4299.43,4488.49,0.07,58.8,98.75,1198.33,-0.6,1476.077,954.851,17287.38,17724.46,10123.23,10227.51
2014.02,236.87,237.48,4379.63,4546.48,0.09,58.9,103.35,1212.23,-0.6,1493.237,969.018,17524.3,18011.05,10239,10322.98
2014.03,237.48,238.46,4451.06,4601.74,0.09,59,97.78,1221.97,-0.7,1510.971,982.906,17612.23,18175.57,10206.96,10298.86
2014.04,236.89,239.41,4478.02,4625.01,0.1,59.3,73.16,1225.9,-0.6,1519.359,981.663,17836.8,18433.99,10359.33,10425.67
2015.01,235.36,240.25,4515.88,4666.66,0.11,59.2,48.54,1241.33,-0.6,1527.159,992.553,18076.43,18923.87,10532.01,10637.99
2015.02,236.96,241.7,4569.95,4695.56,0.12,59.4,57.85,1261.43,-0.3,1514.909,997.695,18153.49,18996.74,10627.53,10761.98
2015.03,237.86,242.9,4600.41,4714.35,0.14,59.3,46.42,1266,-0.6,1556.7,1002.978,18152.06,18798.26,10642.88,10761.87
2015.04,237.84,244.19,4608.78,4723.05,0.16,59.4,41.95,1283.6,-0.4,1561.806,1012.601,18151.58,18808.03,10656.25,10770.94
2016.01,237.69,245.46,4631.48,4750.42,0.36,59.8,33.18,1293.4,-0.6,1578.486,1021.073,18920.78,19537.3,11194.38,11294.95
2016.02,239.59,247.08,4677.93,4765.68,0.37,59.7,45.41,1312.9,-0.5,1579.401,1025.412,19192.59,20082.32,11405.01,11619.34
2016.03,240.61,248.36,4723.16,4799.48,0.4,59.8,44.85,1330.53,-0.4,1601.615,1037.625,19358.25,20396.87,11493.67,11743.28
2016.04,242.13,249.51,4772.34,4826.09,0.45,59.7,49.14,1340.5,-0.1,1613.581,1043.865,19629.82,20576.7,11741.81,11965.54
2017.01,243.84,250.8,4820.02,4849.59,0.7,60,51.77,1349.3,-0.1,1624.383,1048.066,19954.05,20296.74,11972.12,12011.36
2017.02,244.12,251.47,4859.66,4876.74,0.95,60.1,48.24,1366.67,0.1,1631.838,1048.887,19884.05,20259.45,11911.68,11966.78
2017.03,245.29,252.44,4923.15,4915.19,1.15,60.2,48.16,1382.37,0.01,1658.755,1063.496,19845.66,20272.68,11895.63,11955.1
2017.04,247.24,253.9,5009.27,4970.59,1.2,60.1,55.37,1400.1,0.6,1673.448,1080.096,20177.3,20593.98,12155.47,12206.86
2018.01,249.32,255.73,5082.14,5011.02,1.45,60.3,62.89,1412.73,0.7,1697.029,1099.625,20525.62,20740.33,12415.95,12367.57
2018.02,250.68,257.06,5145.23,5037.62,1.74,60.5,68.03,1419.8,0.4,1724.999,1113.446,21004.5,20934.76,12903.54,12743.15
2018.03,251.69,257.99,5199.68,5069.04,1.92,60.4,69.76,1434.7,0.4,1746.847,1128.056,21217.78,21122.94,13133.75,12960.35
2018.04,252.71,259.47,5229.47,5076.22,2.22,60.6,59.08,1447.8,0.5,1767.74,1148.352,21559.09,21334.71,13515.83,13300.5
2019.01,253.41,261.1,5276.03,5103.79,2.4,60.6,54.83,1464,0.5,1804.541,1172.127,21935.54,21908.47,13866.52,13758.52
2019.02,255.22,262.38,5346.19,5146.13,2.4,60.6,59.78,1483.93,0.1,1826.045,1184.228,22057.03,22264.8,14068.27,14095.83
2019.03,256.09,263.9,5423.57,5204.4,2.19,60.9,56.37,1506.2,-0.5,1849.154,1194.2,22024.02,22689.29,14121.66,14390.02
2019.04,257.89,265.45,5475.6,5237.77,1.64,61,56.96,1533.47,0.01,1872.159,1198.012,22729.43,23804.59,14693.72,15158.61
