dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,gscpi,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
2012.02,0.00691374,0.00143896,0.00449145,0.00452627,0.15,58.5,-0.013028448,1.252763,0.009392512,0.001541768,0.001174014,0.016871,0.027931489,0.02541714,0.03009645
2012.03,0.00616008,0.00115562,0.00663475,0.00463555,0.14,58.5,-0.045565716,-1.9459101,0.015863955,0.006557625,-0.002066041,0.016361,0.012288118,0.02875628,0.02989423
2012.04,0.01377764,0.00981795,0.00401148,0.00504431,0.16,58.7,0.067857926,0.6931472,0.022185965,-0.006532257,-0.00284367,0.018295,0.01044295,0.02255737,0.01982331
2013.01,0.00482251,0.00267330,-0.00107677,0.00227668,0.14,58.6,-0.001378799,0.9162907,0.002371343,0.001763176,0.004575025,0.021130,0.018033483,0.02070877,0.01791871
2013.02,0.01336975,0.00847683,0.00537231,0.00534909,0.12,58.6,0.116107064,0.3364722,0.007097455,0.003361548,-0.00061247,-0.001428,-0.024382288,-0.01247987,-0.02957966
2013.03,0.01394980,0.00868092,0.00367946,0.00442874,0.08,58.7,-0.083529533,-0.8472979,0.009295868,0.000798414,-0.000333943,0.008274,-0.000689058,0.000272333,-0.005438447
2013.04,0.00033266,-0.00345843,0.00621570,0.00385913,0.09,58.5,0.014381399,0.6931472,0.007959291,0.006002082,0.012366021,0.023986,0.019621459,0.01333528,0.01087583
2014.01,0.01848179,0.01283696,0.00529113,0.00515052,0.07,58.8,0.045529882,-0.037920661,0.011532718,0.011558354,0.01472788,0.013612,0.016039852,0.01137118,0.009291329
2014.02,0.01617802,0.01208119,0.00257194,0.00411817,0.09,58.9,-0.055401229,0.1541507,0.008002672,0.011806244,0.014230302,0.005005,0.009092926,-0.00313412,-0.002339269
2014.03,0.00603871,0.00504404,-0.00248751,0.00397598,0.09,59,-0.290071234,-0.1541507,0.003210958,0.005536045,-0.001265418,0.012670,0.014117858,0.01481772,0.01223782
2014.04,0.00841909,0.00896508,-0.00647964,0.00350248,0.1,59.3,-0.410260623,-0.037920661,0.012508117,0.005120611,0.011032339,0.013345,0.026227845,0.01653163,0.02016052
2015.01,0.01190219,0.00617377,0.00677509,0.00601724,0.11,59.2,0.175465253,-0.6931472,0.016062613,-0.008053775,0.005167207,0.004254,0.003843297,0.009028613,0.011588
2015.02,0.00664317,0.00399367,0.00379092,0.00495255,0.12,59.4,-0.220123053,0.6931472,0.003616326,0.027212825,0.005281235,-0.000079,-0.010503073,0.00144332,-1.02E-05
2015.03,0.00181775,0.00184373,-0.00008409,0.00529677,0.14,59.3,-0.101251968,-0.4054651,0.013806307,0.003274648,0.009548694,-0.000026,0.000519594,0.001255451,0.000842435
2015.04,0.00491329,0.00577826,-0.00063088,0.00518739,0.16,59.4,-0.234531148,0.4054651,0.00760578,0.010623316,0.008331767,0.041503,0.038041553,0.04926529,0.04750396
