dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,gscpi,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
2020.01,-0.08623186,-0.082197562,-0.009628899,-0.004617385,1.26,60.7,-0.49801468,3.13549422,0.053317671,0.3566947,0.59502842,0.036305131,0.074538302,0.0051545,0.021917371
2020.02,0.08351562,0.074729346,0.01132761,0.009288108,0.06,52.9,0.38548987,0.08338161,0.101336065,-0.10028299,-0.21597563,0.088606585,0.090117693,0.078866289,0.063988711
2020.03,0.01725994,0.010297909,0.006919379,0.005761562,0.09,56.1,0.03744138,-1.27296568,0.011868154,-0.13716494,-0.19340928,0.025838664,0.017157025,0.025275361,0.023540533
2020.04,0.02580238,0.012774574,0.0102522,0.003994975,0.09,57.4,0.30848884,0.5389965,0.019205333,0.26236575,0.33186164,0.026486214,0.017559818,0.019269047,0.017152944
2021.01,0.03016665,0.015082985,0.0181485,0.017456027,0.08,57.6,0.1342017,0.65058757,0.028110412,-0.15353293,-0.07198978,0.014726058,-0.012199851,0.008640549,0.00172091
2021.02,0.02277624,0.00810985,0.015994431,0.012474024,0.07,58,0.06629594,0.23180161,0.02973469,-0.03686411,-0.13251241,0.011177461,0.01593298,0.002537177,0.003071154
2021.03,0.03406185,0.016825427,0.021103031,0.015147495,0.09,58.6,0.09231918,0.18805223,0.018369454,-0.04495734,-0.09126471,0.007124016,0.005020629,-0.003690115,-0.008516915
2021.04,0.01507645,-0.004988713,0.021931326,0.016207016,0.08,59.3,0.19843803,0.15822401,0.022631904,-0.04788661,-0.02510147,0.031816326,0.021868611,0.028097404,0.018915636
2022.01,0.02037347,-0.001414136,0.023074077,0.014580683,0.12,59.9,0.14070518,-0.31237469,0.004749919,0.05191269,0.0095781,0.028151601,-0.013618452,0.036332888,0.012818603
2022.02,0.01747695,0.006563952,0.013491619,0.014944407,0.77,59.9,-0.15424266,-0.26570317,0.001735999,0.01352751,0.0130964,0.006543491,-0.020658386,0.005466375,-0.007379211
2022.03,0.01579178,0.006335626,0.010201593,0.01246289,2.19,60,-0.11822583,-0.73759894,-0.002310547,0.03119258,0.01818792,0.015587223,-0.023867371,0.026508473,-0.000713189
2022.04,0.017824497,0.005647205,0.01298317,0.010699982,3.65,60,0.053899723,0.217990479,0.026249914,0.017727665,0.021590836,0.026578434,0.015622818,0.021132541,0.013319686
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
