dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
1974.01,47.3,47.23,372.8,1524.31,9.32,58.2,10.11,160.4,116.411,75.518,467.37,450.78,260.59,249.42
1974.02,48.57,48.47,382.51,1527.94,11.25,58,10.11,162.83,119.337,78.621,472.36,455.83,260.19,250.03
1974.03,49.93,50.13,390.01,1513.49,12.09,57.8,10.11,164.63,126.753,81.114,475.03,455.43,258.49,247.53
1974.04,51.47,51.6,399.92,1507.62,9.35,57.3,11.16,166.57,130.302,84.597,481.16,463.39,260.51,250.43
1975.01,52.57,52.7,404.03,1489.26,6.3,56.2,11.16,168.5,137.516,88.506,490.72,482.4,270.02,264.9
1975.02,53.2,53.53,412.96,1499.9,5.42,55.9,11.16,171.43,142.966,94.416,508.73,502.02,286.53,282.28
1975.03,54.27,54.23,427.46,1525.58,6.16,56.1,11.16,176.77,145.875,94.777,533.2,524.97,306.23,301.16
1975.04,55.27,55.17,440.46,1546.13,5.41,56.1,11.16,180.63,150.012,97.06,554.46,543.92,327.41,320.98
1976.01,55.9,56.2,455.12,1580.91,4.83,56.5,11.76,183.7,152.396,98.498,575.95,571.65,351.24,348.21
1976.02,56.4,56.97,463.08,1592.51,5.2,56.9,12.17,189.1,151.717,98.927,598.78,596.78,369.28,367.61
1976.03,57.3,57.9,471.64,1601.22,5.28,57,12.75,193.27,154.9,101.874,618.55,614.13,379.69,376.61
1976.04,58.13,58.7,483.57,1612.79,4.87,57,13.9,197.53,157.55,104.185,635.22,638.09,393.57,394.77
1977.01,59.2,59.67,497.16,1631.93,4.66,57.2,13.9,203.03,161.352,105.209,650.7,659.67,411.07,415.96
1977.02,60.23,60.63,513.98,1663.62,5.16,57.8,13.9,208.97,164.354,107.209,667.86,669.81,425.68,426.53
1977.03,61.07,61.5,529.62,1693.61,5.82,58,14.53,213.5,167.25,110.745,673.47,675.35,424.25,425.05
1977.04,61.97,62.33,541.07,1693.65,6.51,58.5,14.85,217.9,172.193,114.155,693.8,691.14,441.37,439.39
1978.01,63.03,63.43,550.69,1699.07,6.76,58.8,14.85,222.47,175.598,117.083,716.17,708.28,464.09,458.84
1978.02,64.47,64.73,582.91,1764.73,7.28,59.3,14.85,226.6,180.478,119.639,734.74,721.85,480.22,471.83
1978.03,65.97,66.13,598.76,1782.48,8.1,59.4,14.85,230.47,187.34,123.008,747.03,727.59,479.93,467.59
1978.04,67.5,67.6,619.24,1806.44,9.58,59.8,14.85,233.17,191.777,126.136,770.79,747.94,490.85,476.39
1979.01,69.2,69.17,631.65,1809.68,10.07,60,15.52,234.27,194.101,127.951,787.56,757.13,511.12,491.63
1979.02,71.4,70.8,647.81,1811.61,10.18,59.8,17.68,234.13,199.927,130.734,795.13,764.91,518.66,499.15
1979.03,73.7,72.63,666.89,1825.07,10.95,59.9,25.58,237.2,207.41,135.823,805.73,783.7,519.47,505.14
1979.04,76.03,74.83,680.97,1829.63,13.58,60,30.83,239.7,212.934,139.879,822.15,783.44,524,499.41
1980.01,79.03,77.6,697.46,1835.39,15.05,59.9,35.83,236.3,223.224,145.965,842.22,795.91,538.67,509
1980.02,81.7,80.2,699.34,1797.57,12.69,59.1,39.5,234.17,230.699,152.174,862.68,796.29,558.86,516.18
1980.03,83.23,81.4,714.12,1795.44,9.84,58.8,37.83,234.53,239.02,159.992,879.07,859.59,564.79,551.57
1980.04,85.57,83.93,746.39,1828.92,15.85,59,36.33,244.37,242.641,164.325,903.11,846.07,588.97,551.97
